
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="lifespan",="lifespan",="lifespan",="lifespan",="lifespan"

="is_teamster",="3.4613**",="2.1578**",="1.8418**",="2.0131**",="2.0046**"
="",="(0.0419)",="(0.0909)",="(0.1370)",="(0.6118)",="(0.6117)"

="is_male",="-2.7755**",="-2.6398**",="-2.6414**",="-2.6803**",="-2.6829**"
="",="(0.0449)",="(0.0450)",="(0.0449)",="(0.0449)",="(0.0449)"

="same_birdeath_state",="",="-0.9012**",="-0.8587**",="-0.8439**",="-0.8440**"
="",="",="(0.0532)",="(0.0530)",="(0.0529)",="(0.0529)"

="birthyear",="",="-16.9525**",="31.7573*",="58.3757**",=""
="",="",="(0.1910)",="(13.3106)",="(13.2952)",=""

="byear2",="",="0.0045**",="-0.0150**",="-0.0257**",=""
="",="",="(0.0001)",="(0.0053)",="(0.0053)",=""

="n_sibs",="",="0.0548**",="0.0160",="",=""
="",="",="(0.0112)",="(0.0354)",="",=""

="n_moms",="",="-0.3760*",="-1.2679**",="",=""
="",="",="(0.1538)",="(0.4042)",="",=""

="n_dads",="",="-0.5301**",="-1.1138**",="",=""
="",="",="(0.1542)",="(0.3937)",="",=""

="n_kids",="",="0.0526**",="-0.0058",="",=""
="",="",="(0.0076)",="(0.0178)",="",=""

="n_spouses",="",="2.5903**",="5.2700**",="",=""
="",="",="(0.0361)",="(0.0815)",="",=""

="n_sources",="",="0.2329**",="0.4728**",="",=""
="",="",="(0.0031)",="(0.0061)",="",=""

="byear3",="",="",="0.0000",="0.0000",=""
="",="",="",="(.)",="(.)",=""

="byear4",="",="",="0.0000**",="0.0000**",=""
="",="",="",="(0.0000)",="(0.0000)",=""

="byear5",="",="",="0.0000",="0.0000",=""
="",="",="",="(.)",="(.)",=""

="n_sibs2",="",="",="0.0043*",="",=""
="",="",="",="(0.0022)",="",=""

="n_moms2",="",="",="0.3500*",="",=""
="",="",="",="(0.1413)",="",=""

="n_dads2",="",="",="0.2288",="",=""
="",="",="",="(0.1370)",="",=""

="n_kids2",="",="",="-0.0026",="",=""
="",="",="",="(0.0014)",="",=""

="n_spouses2",="",="",="-1.0229**",="",=""
="",="",="",="(0.0245)",="",=""

="n_sources2",="",="",="-0.0054**",="",=""
="",="",="",="(0.0001)",="",=""

="same_birdeath_state",="",="",="0.0000",="",=""
="",="",="",="(.)",="",=""

="n_moms=2",="",="",="",="-1.0548*",="-1.0359*"
="",="",="",="",="(0.4411)",="(0.4410)"

="n_dads=2",="",="",="",="-1.3075**",="-1.3180**"
="",="",="",="",="(0.4639)",="(0.4638)"

="Observations",="735855",="604269",="604269",="604269",="604269"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
